"ID","Categoría","Módulo","Nombre de Prueba","Descripción","Precondiciones","Pasos de Prueba","Resultado Esperado","Prioridad","Esfuerzo Estimado","Asignado a","Estado","Fecha Ejecución","Resultado Real","Comentarios"
"TC001","FUNCIONAL","Procesamiento de Archivos","Procesamiento de archivos formato antiguo","Verificar que los archivos con formato antiguo (Steps) se procesan correctamente","Archivos con formato antiguo en sap-gui-env/","1. Ejecutar node index.js | 2. Verificar que se detecta formato antiguo | 3. Verificar generación de archivos de salida","Archivos procesados exitosamente con mensaje ""Procesando formato antiguo""","Alta","30 min","QA Team","Pendiente","","",""
"TC002","FUNCIONAL","Procesamiento de Archivos","Procesamiento de archivos formato intermedio","Verificar que los archivos con solo ""steps"" se procesan correctamente","Archivos ME2N, ZRPT_PS_PROJECT en sap-gui-env/","1. Ejecutar node index.js | 2. Verificar detección de formato intermedio | 3. Verificar estructura de salida mantenida","Archivos procesados con mensaje ""Procesando formato de solo pasos""","Alta","30 min","QA Team","Pendiente","","",""
"TC003","FUNCIONAL","Procesamiento de Archivos","Procesamiento de archivos formato nuevo","Verificar que los archivos con $meta y targetContext se procesan correctamente","Archivos CJI3, KOB1, etc. con nuevo formato","1. Ejecutar node index.js | 2. Verificar detección de formato nuevo | 3. Verificar preservación de metadatos y contextos","Archivos procesados con mensaje ""Procesando formato nuevo""","Alta","45 min","QA Team","Pendiente","","",""
"TC004","FUNCIONAL","Nuevas Transacciones","Verificar transacción ME2N","Confirmar que la nueva transacción ME2N se procesa correctamente","Archivo me2n.json en sap-gui-env/","1. Verificar existencia de me2n.json | 2. Ejecutar procesamiento | 3. Verificar output/me2n.json generado | 4. Validar estructura de pasos","Archivo me2n.json generado con todos los pasos de filtros","Alta","20 min","QA Team","Pendiente","","",""
"TC005","FUNCIONAL","Nuevas Transacciones","Verificar transacción ZRPT_PS_PROJECT","Confirmar que la nueva transacción ZRPT_PS_PROJECT se procesa correctamente","Archivo zrpt_ps_project.json en sap-gui-env/","1. Verificar existencia de zrpt_ps_project.json | 2. Ejecutar procesamiento | 3. Verificar output/zrpt_ps_project.json generado | 4. Validar pasos de reporte de proyectos","Archivo zrpt_ps_project.json generado con pasos de reporte PS","Alta","20 min","QA Team","Pendiente","","",""
"TC006","FUNCIONAL","Eliminación mainFlow","Verificar eliminación de mainFlow.json","Confirmar que mainFlow.json ya no se genera","Sistema actualizado sin generación de mainFlow","1. Limpiar directorio output/ | 2. Ejecutar node index.js | 3. Verificar que no existe output/mainFlow.json | 4. Verificar mensaje de descontinuación","mainFlow.json no existe, mensaje ""ya no se genera (descontinuado)""","Alta","15 min","QA Team","Pendiente","","",""
"TC007","API","SAP Targets API","GET /api/targets - Listar archivos targets","Verificar que el endpoint retorna la lista de archivos sap-targets","Servidor ejecutándose, directorio sap-targets con archivos","1. Ejecutar GET /api/targets | 2. Verificar respuesta 200 | 3. Verificar estructura de respuesta | 4. Verificar datos de archivos","JSON con success:true y array de targets con metadatos","Media","20 min","API Team","Pendiente","","",""
"TC008","API","SAP Targets API","GET /api/targets/:tcode - Obtener targets específico","Verificar que se puede obtener targets de un tcode específico","Archivo CJI3-targets.json existe","1. Ejecutar GET /api/targets/CJI3 | 2. Verificar respuesta 200 | 3. Verificar contenido del archivo targets | 4. Verificar estructura de datos","JSON con targets específicos del tcode solicitado","Media","15 min","API Team","Pendiente","","",""
"TC009","API","SAP Targets API","GET /api/targets/:tcode/controls - Controles organizados","Verificar que se retornan controles organizados por tipo","Archivo targets con TargetControls existe","1. Ejecutar GET /api/targets/CJI3/controls | 2. Verificar controlsByType y controlsByGroup | 3. Verificar summary con estadísticas | 4. Verificar agrupación correcta","Controles organizados por tipo y grupo con resumen estadístico","Media","25 min","API Team","Pendiente","","",""
"TC010","API","Flows API","GET /api/flows/:tcode - Obtener flujo específico","Verificar que se puede obtener un flujo específico para edición","Archivo output/cji3.json existe","1. Ejecutar GET /api/flows/cji3 | 2. Verificar respuesta 200 | 3. Verificar contenido del flujo | 4. Verificar estructura de steps","JSON con flujo completo del tcode solicitado","Media","15 min","API Team","Pendiente","","",""
"TC011","API","Flows API","PUT /api/flows/:tcode - Actualizar flujo","Verificar que se puede actualizar un flujo existente","Flujo existente en output/","1. Obtener flujo actual con GET | 2. Modificar estructura de steps | 3. Ejecutar PUT /api/flows/cji3 con flujo modificado | 4. Verificar actualización en archivo","Flujo actualizado correctamente en el archivo de salida","Media","30 min","API Team","Pendiente","","",""
"TC012","API","Flows API","POST /api/flows/:tcode/validate - Validar targets","Verificar validación de targets en un flujo","Flujo con targets y archivo sap-targets disponible","1. Crear flujo con targets válidos e inválidos | 2. Ejecutar POST /api/flows/cji3/validate | 3. Verificar detección de targets inválidos | 4. Verificar resumen de validación","Reporte de validación con issues detectados y resumen","Media","35 min","API Team","Pendiente","","",""
"TC013","ERROR","Procesamiento de Archivos","Archivo JSON con errores de sintaxis","Verificar manejo de archivos JSON malformados","Archivo con JSON inválido en sap-gui-env/","1. Colocar archivo con JSON inválido | 2. Ejecutar node index.js | 3. Verificar que se muestra error específico | 4. Verificar que continúa con otros archivos","Error mostrado con contexto, procesamiento continúa","Alta","20 min","QA Team","Pendiente","","",""
"TC014","ERROR","API Endpoints","Archivo targets no encontrado","Verificar respuesta cuando no existe archivo targets","Tcode sin archivo targets correspondiente","1. Ejecutar GET /api/targets/NOEXISTE | 2. Verificar respuesta 404 | 3. Verificar mensaje de error descriptivo | 4. Verificar lista de nombres buscados","Error 404 con mensaje descriptivo y nombres buscados","Media","15 min","API Team","Pendiente","","",""
